mRNA,RF_Classifier_prob
A967,0.7621538639068604
A968,0.5978988572955132
A969,0.7125578761100769
A970,0.7925996899604797
A971,0.7994557380676269
A972,0.6971633434295654
A973,0.7969685435295105
A974,0.7982042551040649
A975,0.7998642325401306
A976,0.7997620463371277
A977,0.7999426245689392
A978,0.7996856570243835
A979,0.7998476028442383
A980,0.7997122645378113
A981,0.6902399778366088
A982,0.7930164575576782
A983,0.7630068778991699
A984,0.7978581070899964
A985,0.7970194816589355
A986,0.7952706694602967
A987,0.6253649771213532
A988,0.725442087650299
A989,0.432554479688406
A990,0.6717225670814514
A991,0.7011728048324585
A992,0.7647259116172791
A993,0.5511183852329851
A994,0.4112580149434507
A995,0.546291833370924
A996,0.7941140532493591
A997,0.7995855212211609
A998,0.7973211646080017
A999,0.7875993967056274
A1000,0.7645605325698852
A1001,0.7981756448745727
A1002,0.7875231504440308
A1003,0.7998093724250793
A1004,0.7998440980911254
A1005,0.799507200717926
A1006,0.7881731152534485
A1007,0.7968975186347962
A1008,0.7580131769180298
A1009,0.7983106851577759
A1010,0.7997095465660096
A1011,0.7985214352607727
A1012,0.6335278213024139
A1013,0.633955055475235
A1014,0.7994217157363892
A1015,0.6256778985261917
A1016,0.7432630777359008
A1017,0.5860745400190354
A1018,0.7997897624969482
A1019,0.7962519764900208
A1020,0.7984252214431763
A1021,0.3589495545893442
A1022,0.2960959985852242
A1023,0.33859162704939083
A1024,0.5571738988161087
A1025,0.7927320957183838
A1026,0.799202048778534
A1027,0.7957668304443359
A1028,0.7996501088142395
A1029,0.7986656069755554
A1030,0.6758155405521393
A1031,0.5904943756759167
A1032,0.5904786491111735
A1033,0.5991354150697589
A1034,0.7773987293243408
A1035,0.7999479413032532
A1036,0.7994955539703369
A1037,0.5621348198503255
A1038,0.7978373408317566
A1039,0.7992124557495117
A1040,0.617468711733818
A1041,0.7953855633735657
A1042,0.78583242893219
A1043,0.7992462277412414
A1044,0.7963963747024536
A1045,0.7869847536087036
A1046,0.7987095355987549
A1047,0.7871204972267151
A1048,0.7903128623962402
A1049,0.5871571116149426
A1050,0.7987670183181763
A1051,0.7974015474319458
A1052,0.7903391003608704
A1053,0.5436363086104393
A1054,0.7895935773849487
A1055,0.7943012356758118
A1056,0.78469477891922
A1057,0.7872766852378845
A1058,0.5427184550091624
A1059,0.7993753314018249
A1060,0.7993105411529541
A1061,0.799638319015503
A1062,0.7993826031684875
A1063,0.7937000155448913
A1064,0.7992786765098572
A1065,0.7986727595329285
A1066,0.7996355533599854
A1067,0.7950135707855225
A1068,0.5607352145016193
A1069,0.7762670278549194
A1070,0.7937919974327088
A1071,0.796506929397583
A1072,0.7823558211326599
A1073,0.7773800849914551
A1074,0.7627505660057068
A1075,0.43820847272872926
A1076,0.46586269438266753
A1077,0.5527763798832893
A1078,0.6604808986186981
A1079,0.7926907777786255
A1080,0.7961085796356201
A1081,0.7982055306434631
A1082,0.7985766053199768
A1083,0.7964773058891297
A1084,0.7994633197784424
A1085,0.7973479270935059
A1086,0.7784111499786377
A1087,0.7925225138664246
A1088,0.7998902440071106
A1089,0.7992319107055664
A1090,0.7989747762680054
A1091,0.7698204517364502
A1092,0.7885227799415588
A1093,0.7924233555793763
A1094,0.785343074798584
